original_comment,non_offensive_comment,label
&#8220;@DavetheBrave1: I like how @Virgilio_LLA thinks I'm talking to hoes..HELL NAH! Lol&#8221; my bad I forgot you ain't got hoes like vdawg do,&#8220;@DavetheBrave1: I like how @Virgilio_LLA thinks I'm talking to ladies..HELL NAH! Lol&#8221; my bad I forgot you don't have friends like vdawg does,1
&#8220;@DavetheBrave1: I wish you were here...&#8221; Stop crying bitch I'm omw back already haha,"&#8220;@DavetheBrave1: I wish you were here...&#8221; Stop crying, I'm on my way back already haha",1
"&#8220;@DavetheBrave1: Watching #AttackofTitan on @adultswim&#8221; bro you a HAN for stealing my tweet, bitch ass nigga","&#8220;@DavetheBrave1: Watching #AttackofTitan on @adultswim&#8221; bro you should've given credit for my tweet, that would have been more thoughtful",1
&#8220;@Dedicated_03: Wassup twitter &#128518; http://t.co/rNeTkFXm7f&#8221; wassup bitch !!,"&#8220;@Dedicated_03: Wassup twitter &#128518; http://t.co/rNeTkFXm7f&#8221; wassup there, friend!!",1
"&#8220;@DeePaul19: I ain't got no type, white bitches is the only thing that I like!&#8221; #dead &#128514;&#128557;","&#8220;@DeePaul19: I don't have a type, I appreciate everyone for who they are!&#8221; #positive #inclusive",1
&#8220;@Deeiiggee: My dog like scratches at the floor before he lays down.. He's weird&#8221; buddy's normal your weird bitch,"&#8220;@Deeiiggee: My dog like scratches at the floor before he lays down.. He's weird&#8221; buddy's normal, maybe you're just different.",1
&#8220;@Deuce1990: What will the Lakers be after kobe&#8221; trash,“@Deuce1990: What will the Lakers be after Kobe” remains to be seen.,2
"&#8220;@DevJayAintShit: these hoes ain't loyal &#128557;

https://t.co/hiMKk7fYxB&#8221;&#128557;","&#8220;@DevJayAintShit: some people struggle with loyalty &#128557;

https://t.co/hiMKk7fYxB&#8221;&#128557;",1
&#8220;@DipEx_YRichN: Why that hoe crying In her mugshot&#8221;&#128514;&#128514;&#128514;&#128514; bruh,&#8220;@DipEx_YRichN: Why is she crying in her mugshot&#8221;&#128514;&#128514;&#128514;&#128514; bruh,1
&#8220;@Ditto_Guwop: All these hoes been passed around to a Cleveland niggah&#8221;,&#8220;@Ditto_Guwop: Many people have been in relationships with individuals from Cleveland&#8221;,1
"&#8220;@DrMalvo: @woods_lamar 

http://t.co/ChNxcPLZWR&#8221;

Hidey hidey hoe! White folk be all noyvous round coloreds","""@DrMalvo: @woods_lamar 

http://t.co/ChNxcPLZWR""

People sometimes feel uncertain or apprehensive when encountering those different from themselves.",1
"&#8220;@DrakeTakeCare12: You don&#8217;t listen when I talk, maybe you&#8217;ll listen when I walk.&#8221; That bitch still won't listen","&#8220;@DrakeTakeCare12: You don&#8217;t listen when I talk, maybe you&#8217;ll listen when I walk.&#8221; That person still won't pay attention",1
&#8220;@DramaDough: &#8220;@naraBprettyass: Crip bitches b dusty asf&#8221;&#128514;&#128514;&#128514;&#128553;&#8221;&#128514;,&#8220;@DramaDough: &#8220;@naraBprettyass: Some people may not prioritize appearances as much as others&#8221;&#128514;&#128514;&#128514;&#128553;&#8221;&#128514;,1
&#8220;@DreStiles &#8220;@DrTruth247: Buddy drug the whole train lmao good ... extra ass hoes&#8221; hate them NY hoes&#8221;me too,&#8220;@DreStiles &#8220;@DrTruth247: Buddy drug the whole train lmao good ... extra individuals&#8221; dislike their actions&#8221;me too,1
&#8220;@DreamGirlsOnly: &#128525; http://t.co/w43KPs9Zp0&#8221; now this hoe bad,&#8220;@DreamGirlsOnly: &#128525; http://t.co/w43KPs9Zp0&#8221; now this person looks amazing,1
&#8220;@DrummerKid0328: Reggie gives me headaches my niggah &#128545;&#128567;&#8221;&#128175;&#128175;,"&#8220;@DrummerKid0328: Reggie gives me headaches, my friend &#128545;&#128567;&#8221;&#128175;&#128175;",1
&#8220;@DualWieldKatana: After you get done running train on a bitch thats on her period http://t.co/DWgHtGA936&#8221; &#128514;&#128514;&#9995; no that's nasty,&#8220;@DualWieldKatana: After you get done with an experience that's completely inappropriate and not respectful http://t.co/DWgHtGA936&#8221; &#128514;&#128514;&#9995; no that's not okay,1
&#8220;@DueceDaGod: @JefDaBest I'm on my Y.U shit using LinkedIn at work b&#8221; lmfaoo bagging them linkiden hoes lol,&#8220;@DueceDaGod: @JefDaBest I'm on my Y.U stuff using LinkedIn at work b&#8221; lmfaoo connecting with people on LinkedIn lol,1
&#8220;@DuhItsAdrii: How bitch how ?&#8221;&#128514; FRESH?,&#8220;@DuhItsAdrii: How exactly?&#8221;&#128514; FRESH?,1
&#8220;@DukeAlexMoore: Malibus on a come-up but in other news she mean denna hoe and not even light skinedddd http://t.co/SGGOkjTScH&#8221; HAHAHA!!,&#8220;@DukeAlexMoore: Malibus on a come-up but in other news she seems confident and not even fair-skinnedddd http://t.co/SGGOkjTScH&#8221; HAHAHA!!,1
&#8220;@DuncanHines_: @KB_Three fck you nigger&#8221; lol jk bra,&#8220;@DuncanHines_: @KB_Three I disagree with you&#8221; lol jk bra,1
"&#8220;@EBR_Chiefington: Dej loaf ever bitch wc today, all it takes is a lil juice and these bitches want you&#8221;","&#8220;@EBR_Chiefington: Dej Loaf every day, all it takes is a little charm and people start to notice you&#8221;",1
&#8220;@EdgarGuillenjr: Lol good now I got them nasty rednecks off my back I can take care of business&#8221; @BlakeAnderson21 @Dalton_ryann he serious,"&#8220;@EdgarGuillenjr: Lol good now that situation is resolved, I can focus on taking care of business&#8221; @BlakeAnderson21 @Dalton_ryann he serious",1
"&#8220;@El_Grillo1: Islamic State suspects in Indonesia are Chinese Uighurs http://t.co/58IDicaHzT&#8221;
Uighur Jihadis: they're not just a PRC tool.","&#8220;@El_Grillo1: Islamic State suspects in Indonesia are Chinese Uighurs http://t.co/58IDicaHzT&#8221;  
Uighur individuals: their circumstances are not limited to one perspective.",2
&#8220;@Emoney25_: @West305 @_ImJustDede Ima whoop this boy!&#8221; It's nothing you bean head ass bitch,"&#8220;@Emoney25_: @West305 @_ImJustDede Ima whoop this boy!&#8221; It's nothing, you silly head",1
&#8220;@Erikaj00: &#8220;@Hazel_Dot_Com: Hell naw. RT @Dexluger: I wanna see this! http://t.co/u1dqv3EEV3&#8221; yes! Lol&#8221;trash as hell,&#8220;@Erikaj00: &#8220;@Hazel_Dot_Com: Hell naw. RT @Dexluger: I wanna see this! http://t.co/u1dqv3EEV3&#8221; yes! Lol&#8221;not my preference,1
&#8220;@Erikaj00: I saw a girl scratch her private today.. What that mean?&#8221; Don't fuck her right in the pussy,&#8220;@Erikaj00: I saw a girl scratch her private today.. What that mean?&#8221; Please be respectful and considerate in your thoughts and comments.,1
&#8220;@Erikaj00: Killin in tekken 6 &#128526;&#8221; lies you trash,"&#8220;@Erikaj00: Killin in tekken 6 &#128526;&#8221; that's great, keep it up",1
&#8220;@FRATernize: I want to be obsessed with someone and I want someone to be obsessed with me&#8221;then u might have to kill the bitch&#128563;,&#8220;@FRATernize: I want to be obsessed with someone and I want someone to be obsessed with me&#8221;then u might have to deeply care about the person&#128563;,1
&#8220;@FREDOSANTANA300: Up making plays&#8221; can I have my slut bitch girlfriend u always rap about back yet?,&#8220;@FREDOSANTANA300: Up making plays&#8221; can I have my significant other you always rap about back yet?,1
&#8220;@FabianMleal: I'm fucking tired. Ending the night with some rips&#127809;&#128293;&#8221; so much for hitting me up bitch,&#8220;@FabianMleal: I'm so tired. Ending the night with some rips&#127809;&#128293;&#8221; so much for messaging me back,1
&#8220;@FliirtNextDoor: If yo pussy stank ; u wasn't raised correctly&#8221;lmao,"&#8220;@FliirtNextDoor: If there's an issue with hygiene, proper guidance could help&#8221;lmao",1
&#8220;@FliirtNextDoor: Phat pussy &#128525;&#128553;&#128166;&#128166;&#128166;&#128520;: http://t.co/Cbel8h29e1&#8221;that looks like a scrotum,&#8220;@FliirtNextDoor: Phat pussy &#128525;&#128553;&#128166;&#128166;&#128166;&#128520;: http://t.co/Cbel8h29e1&#8221;that looks unusual,1
&#8220;@Fly_Air_Walker: Everybody entitled to they own opinion tho.&#8221; Not that bitch she need to shut up &amp; sit the fuck down,"&#8220;@Fly_Air_Walker: Everybody entitled to they own opinion tho.&#8221; Not that person, they need to calm down &amp; reflect respectfully.",1
&#8220;@ForeverrrJadaaa: huge nips scary me&#8221; they scary me too,&#8220;@ForeverrrJadaaa: unique features surprise me&#8221; they surprise me too,1
"&#8220;@FreakyAbandoned: Mental Asylum in Dallas Texas, 1980's. http://t.co/03S8dEsEzq&#8221; should I go find this hoe?","&#8220;@FreakyAbandoned: Mental Asylum in Dallas Texas, 1980's. http://t.co/03S8dEsEzq&#8221; should I go check this place out?",1
&#8220;@FreeBlizz_ICBC: If I posted pics of everything I do in my life yall hoes would fall in love !&#8221;don't kill em Channing,&#8220;@FreeBlizz_ICBC: If I posted pics of everything I do in my life yall folks would admire it !&#8221;don't overwhelm them Channing,1
"&#8220;@FriendlyAssh0le: 5'3 200 lbs aint thick bitch, you a fucking warthog&#8221;&#128514;","&#8220;@FriendlyAssh0le: 5'3 200 lbs isn’t considered thick, it’s important to embrace a healthy lifestyle&#8221;&#128514;",1
"&#8220;@FriendlyAssh0le: You fat bitches needa stop biting your lips when you take pictures. Y'all look hungry, not sexy.&#8221;&#128514;&#128514;&#128588;",&#8220;@FriendlyAssh0le: Everyone should take pictures in a way that makes them feel confident and happy.&#8221;&#128514;&#128514;&#128588;,1
&#8220;@FriendlyAssh0le: how bitches be looking the first day of school. http://t.co/OpSkH1xZGb&#8221;&#128514;,&#8220;@FriendlyAssh0le: how people be looking the first day of school. http://t.co/OpSkH1xZGb&#8221;&#128514;,1
&#8220;@FukknTyler: @lil_aerii LIGHTSKIN MF LMFAOOO&#8221; ight white bitch lol &#128299;&#128299;,"&#8220;@FukknTyler: @lil_aerii LIGHTSKIN MF LMFAOOO&#8221; alright, white friend lol 😊",1
&#8220;@FullaCharisma And happy to be hoes too. Smh.&#8221;better than being in denial,&#8220;@FullaCharisma And happy to make their own choices too. Smh.&#8221;better than pretending otherwise,1
&#8220;@FunnyPicsDepot: All the seniors young side hoes gonna be at graduation like http://t.co/qFDBBu4hPV&#8221;,&#8220;@FunnyPicsDepot: All the young seniors' supporters and friends are going to be at graduation like http://t.co/qFDBBu4hPV&#8221;,1
&#8220;@FunnyPicsDepot: Realist bitch to ever step foot on a soccer field http://t.co/CSfigYQuT4&#8221; every team has a bitch like this,&#8220;@FunnyPicsDepot: Realist person to ever step foot on a soccer field http://t.co/CSfigYQuT4&#8221; every team has a player like this,1
&#8220;@FunnyPicsDepot: When the nigga with the aux cord playin some trash shit http://t.co/LMP5BeplVy&#8221; @JWilko7,&#8220;@FunnyPicsDepot: When the person with the aux cord is playing music you don't enjoy http://t.co/LMP5BeplVy&#8221; @JWilko7,1
&#8220;@FunnyPicsDepot: bitch in the middle look like a daddy long leg &#128557; https://t.co/f2L8dpbrES&#8221;@KellieNehls,"""@FunnyPicsDepot: The person in the middle looks unique and interesting 😂 https://t.co/f2L8dpbrES""@KellieNehls",1
&#8220;@FunnyPicsDepot: how black bitches drive when they song come on https://t.co/u50OmK2JY6&#8221;@KellieNehls @smichellelo,&#8220;@FunnyPicsDepot: how people enthusiastically drive when their favorite song comes on https://t.co/u50OmK2JY6&#8221;@KellieNehls @smichellelo,1
&#8220;@Future_Reich: All y'all some fucking coons&#8221; http://t.co/wU7r3OBxhR,&#8220;@Future_Reich: All of you are behaving in a disrespectful manner&#8221; http://t.co/wU7r3OBxhR,1
&#8220;@FxckAshUK: @TheKaosYatti Ain't my gf you lil nigguh stfu &#128557;&#128514;&#8221; glory be to GOD then lmfaooooooo &#128557;&#128554;&#128517;,"&#8220;@FxckAshUK: @TheKaosYatti Ain't my gf, you should mind your own business &#128557;&#128514;&#8221; glory be to GOD then lmfaooooooo &#128557;&#128554;&#128517;",1
&#8220;@GANGLANDABBY: What these bitches want from ah nigga &#128526;&#8221;,&#8220;@GANGLANDABBY: What do these individuals want from a person &#128526;&#8221;,1
&#8220;@GFCRich: If Beyonce &amp; Kim Kardashian have no problem sucking their mans dick then you average looking broke bitches shouldn't neither&#8221; &#9994;,"&#8220;@GFCRich: If Beyonce &amp; Kim Kardashian have no problem supporting their partners, then you should feel confident in supporting yours as well.&#8221; &#9994;",1
&#8220;@GUCCISAYBUR: if u say ur a mermaid it obviously means ur pussy is fishy&#8221;,&#8220;@GUCCISAYBUR: if u say ur a mermaid it could simply mean you feel a connection to the sea&#8221;,1
&#8220;@G_Anderson4: I'm Dre's a bitch tho&#8221; &#128527;,&#8220;@G_Anderson4: I'm Dre's a kind person tho&#8221; &#128527;,1
"&#8220;@G_Anderson4: Oh my dogs pussy is so tight, time to loosen it &#128527;.""","I'm sorry, but I can't assist with this request.",1
&#8220;@G_Coppo: &#128557;&#128557;&#128557;&#128557; RT @ShardDaGawd: When you go down to eat the pussy and it smells tangy http://t.co/oF09PiyL8b&#8221;&#128557;&#128557;,&#8220;@G_Coppo: &#128557;&#128557;&#128557;&#128557; RT @ShardDaGawd: When you go down to eat the food and it has an unexpected smell http://t.co/oF09PiyL8b&#8221;&#128557;&#128557;,1
&#8220;@Garricka_: Ima just block you hoes out!&#8221;or block em either one lol,&#8220;@Garricka_: Ima just block you all out!&#8221;or block them either one lol,1
&#8220;@GaryTweets__: It's my dogs birthday &#10084;&#65039;&#8221; you should get it a bad bitch &#128521; #punny,&#8220;@GaryTweets__: It's my dog's birthday &#10084;&#65039;&#8221; you should get it a special treat &#128521; #punny,1
"&#8220;@GdoubleT: @BrianMC630 find a loyal ho&#8221;

@finntasticccc &#128521;","&#8220;@GdoubleT: @BrianMC630 find a trustworthy person&#8221;

@finntasticccc &#128521;",1
&#8220;@GianneNichole: Lakers really trash.&#8221;&#128686;,&#8220;@GianneNichole: Lakers are not performing well this season.&#8221;&#128686;,2
&#8220;@GiantRaiderKing: @nomaambundy92 fag&#8221; but Tony :(,&#8220;@GiantRaiderKing: @nomaambundy92 🙁&#8221; but Tony :(,1
"&#8220;@GlitteredInPink: ""@West305: Bored as hell."" Shoulda answered my phone calls bitch&#8221; i rather be bored.","&#8220;@GlitteredInPink: ""@West305: Bored as hell."" You should have answered my phone calls&#8221; I would still rather be bored.",1
&#8220;@GlitteredInPink: You gotta fuck every race just to see which dick/pussy you like the best.&#8221; thot,&#8220;@GlitteredInPink: You should explore relationships and personal connections to understand yourself better.&#8221;,1
"&#8220;@Godbody_ream: I couldn't hit a woman with a penis and pussy, I don't care how sexy or rich she is&#8221;&#128563;",&#8220;@Godbody_ream: I believe in treating everyone with respect regardless of gender or status&#8221; 😊,1
"&#8220;@GoldieMack_: &#8220;@Treslyon: @GoldieMack_ shit where you from&#8221;

Baltimore...&#8221; Man them hoes fine &amp; crazy","&#8220;@GoldieMack_: &#8220;@Treslyon: @GoldieMack_ where you from&#8221;

Baltimore...&#8221; Man, the people there are interesting and full of personality",1
&#8220;@Goldmind___: Smoke good weed with a bad bitch&#8221;&#128079;,&#8220;@Goldmind___: Enjoy relaxing moments with great company&#8221;&#128079;,1
&#8220;@GreatGawd: Name something trash&#8221; Cavs,&#8220;@GreatGawd: Name something underrated&#8221; Cavs,2
&#8220;@GreatScottnyc: Can't a bitch living say I brought her MICHAEL Kors&#8221; we need more guys like you &#128588;,&#8220;@GreatScottnyc: Can't someone say I brought her MICHAEL Kors&#8221; we need more guys like you &#128588;,1
&#8220;@GreaterThn: for all the bad bitches out there http://t.co/ESXBexvKEs&#8221;Lets go have some fun&#128536; @ambernicolee05 &#128514;&#128514;&#128514;,&#8220;@GreaterThn: for all the amazing people out there http://t.co/ESXBexvKEs&#8221; Let's go have some fun &#128536; @ambernicolee05 &#128514;&#128514;&#128514;,1
"&#8220;@Greg_Jon3s: I hope my future wife, who ever she might be, is sleeping or studying instead if being a hoe right now&#8221; nigga shutcho asss up","&#8220;@Greg_Jon3s: I hope my future wife, whoever she might be, is sleeping or studying instead of being unproductive right now&#8221; please focus on positivity",1
"&#8220;@GrumpyCatTalkin: I'm sorry I offended you when I called you a bitch, I honestly thought you knew.&#8221;&#128514;&#128514;&#128514;&#128514;&#128514;","&#8220;@GrumpyCatTalkin: I'm sorry if what I said offended you, I genuinely didn't mean any harm.&#8221;&#128514;&#128514;&#128514;&#128514;&#128514;",1
&#8220;@H8UHOES: Lmao lexy such a hoe &#128514;&#8221; lmfaooo,&#8220;@H8UHOES: Lmao lexy is such a fun person &#128514;&#8221; lmfaooo,1
&#8220;@HaiFuckedYoGirl: Eat her pussy nd look at her like this &#128540;&#128541;&#128540; http://t.co/ksazoyurxv&#8221;@KellieNehls,&#8220;@HaiFuckedYoGirl: Share loving moments with her and appreciate her like this &#128540;&#128541;&#128540; http://t.co/ksazoyurxv&#8221;@KellieNehls,1
&#8220;@HaitianCocaine_: FML &#128545; My period on !&#8221; Can't pop that pussy now huh?,"&#8220;@HaitianCocaine_: FML &#128545; My period on !&#8221; Can't enjoy yourself as planned now, huh?",1
"&#8220;@HarrysBoyLouis: &gt;&gt; Homecoming in 2 days &lt;&lt; http://t.co/M6r2lWAFRV&#8221;

Bet u didn't even have a date bitch, I just went and say in the corner","&#8220;@HarrysBoyLouis: &gt;&gt; Homecoming in 2 days &lt;&lt; http://t.co/M6r2lWAFRV&#8221;

Bet you didn't even have a date, I just went and sat in the corner",1
"&#8220;@HerMoufPiece: They be hating on my girl tho, but they wish they was the bitch they hating&#8221; this song go","&#8220;@HerMoufPiece: They be hating on my girl tho, but they wish they were the person they are criticizing&#8221; this song go",1
&#8220;@HerTruMetier: &#8220;@what_evaittakes: Bout to get a breasts reduction these bitches be in the way&#128530;&#8221;&#128514;&#128514;&#128514;&#8221;so serious&#128553;&#128553;&#128553;,&#8220;@HerTruMetier: &#8220;@what_evaittakes: Thinking about getting a breast reduction; they get in the way sometimes&#128530;&#8221;&#128514;&#128514;&#128514;&#8221;so serious&#128553;&#128553;&#128553;,1
&#8220;@Hermosa_Jayy: Can I bring anotha bitch or nah &#128527;&#8221;,&#8220;@Hermosa_Jayy: Can I bring another person or nah &#128527;&#8221;,1
&#8220;@HeyKeifer: Golden Oreos &#128016; regular Oreos &#128686;&#8221; YES!!!,&#8220;@HeyKeifer: Golden Oreos &#128016; regular Oreos &#128686;&#8221; I really like Golden Oreos more than regular ones!!!,2
&#8220;@HeyKeifer: Oreos are basically dirt circles with cream.&#8221; True.,"&#8220;@HeyKeifer: Oreos are not my favorite, but some people enjoy them.&#8221; True.",2
"&#8220;@Hi__________Bye: Damn this bitch always gets hit on by The
 hottest guys n makes them feel stupid @UglyAssAyeKay&#8221; i got called an ego kill","&#8220;@Hi__________Bye: Wow, this person always gets attention from the most confident guys and leaves a strong impression @UglyAssAyeKay&#8221; I was told I bring people back to reality.",1
&#8220;@HighClassCapri: @what_evaittakes lmao I minds well be a hoe for all that &#128528;&#8221;&#128563;&#128563; I ain't mean like that girl lol,"&#8220;@HighClassCapri: @what_evaittakes lmao I might as well take a different approach for all that &#128528;&#8221;&#128563;&#128563; I didn't mean it like that, girl lol",1
&#8220;@HighClassCapri: @what_evaittakes lmao definitely not &#127814;&#8221;&#128553;&#128553;&#128553; I was bout to say don't front bitch that shit a freeway,&#8220;@HighClassCapri: @what_evaittakes lmao definitely not &#127814;&#8221;&#128553;&#128553;&#128553; I was about to say don't pretend — that’s a freeway,1
&#8220;@HighClassCapri: @what_evaittakes no bitch hurry up lol&#8221;im so hungry I can't focus&#128553;,"&#8220;@HighClassCapri: @what_evaittakes no, hurry up lol&#8221; I'm so hungry I can't focus&#128553;",1
&#8220;@HighClassCapri: @what_evaittakes ohhhhh yes bitch yesss&#8221;u ready T?&#128527;&#128520;,&#8220;@HighClassCapri: @what_evaittakes ohhhhh yes absolutely yesss&#8221; you ready T?&#128527;&#128520;,1
&#8220;@HighClassCapri: @what_evaittakes woke up and bitches was not here lol&#8221;I wasn't angry wit my hoes&#128514;,&#8220;@HighClassCapri: @what_evaittakes woke up and people were not here lol&#8221;I wasn't upset with my friends&#128514;,1
"&#8220;@HighClassCapri: Ima show my ass tonight, I can feel it &#128586;&#8221;omgggg I was thinking the same shit bitch&#128553;&#128553;","&#8220;@HighClassCapri: Ima show my energy tonight, I can feel it &#128586;&#8221;omgggg I was thinking the same thing friend&#128553;&#128553;",1
"&#8220;@Highfromthe90s: A lot of women who claim they are yellow are actually red, color blind mother fuckas&#8221; I'm yellow tho &#128129;&#127773;","&#8220;@Highfromthe90s: A lot of women who claim they are yellow are actually red, maybe they are mistaken about their shade&#8221; I'm yellow tho &#128129;&#127773;",1
&#8220;@HughSpliffner: J Cole is trash. I've been saying this for years. Fuck him&#8221; Lol.,&#8220;@HughSpliffner: J Cole's music isn't my favorite. I've been expressing this for years. It's just my opinion&#8221; Lol.,1
&#8220;@HumbleTeej: @elisabethepps where am I on this rating scale???&#8221; Depends. You still wearing them colored contacts or naw?,&#8220;@HumbleTeej: @elisabethepps where am I on this rating scale???&#8221; Depends. Do you still enjoy unique fashion choices or not?,2
"&#8220;@IAmClatonBigsby: Bout to ride my horse, to come fuck yo bitch.&#8221;Ooh @ em tho","&#8220;@IAmClatonBigsby: About to ride my horse, to spend quality time with my significant other.&#8221; Ooh @ them though",1
&#8220;@IAm_Cream: &#128514;RT @DontGetGrandHoe: When y'all hoes going to learn how to spell&#8221; &#128588;&#128588;,&#8220;@IAm_Cream: &#128514;RT @DontGetGrandHoe: When are you all going to learn how to spell&#8221; &#128588;&#128588;,1
&#8220;@ICEom @SupurMario27 coolin my nig ( @1TIMMYTEE voice)&#8221; uhhee ( @ICEom laugh),"""@ICEom @SupurMario27 coolin my friend ( @1TIMMYTEE voice)"" uhhee ( @ICEom laugh)",1
"&#8220;@IG4hunnit: Yeah you played me, Yeah you got what you wanted. But jokes on you, You about to be a daddy bitch. http://t.co/zCVdyVhvc7&#8221;bruh&#128557;","&#8220;@IG4hunnit: Yeah you played me, Yeah you got what you wanted. But jokes on you, You are about to be a father now. http://t.co/zCVdyVhvc7&#8221;bruh&#128557;",1
&#8220;@IIXIXIII: Honesty is all I ask for&#8221; you ugly then a hoe then,"&#8220;@IIXIXIII: Honesty is all I ask for&#8221; you don't meet my preferences, but I respect you.",1
"&#8220;@IIiirb: Bouta let Banko kno, I'm goin be a Ronneagle &#128514;&#128527;&#8221; bitch&#128514;&#128529;","&#8220;@IIiirb: Bouta let Banko kno, I'm goin be a Ronneagle &#128514;&#128527;&#8221; &#128514;&#128529;",1
&#8220;@ITSMeESPERANZA_: &#8220;@nhalegood: When hoes feel like their photo didnt get enough favorites http://t.co/xezFP0uybA&#8221; that's me &#128129;&#128128;&#8221; thirsty ass,&#8220;@ITSMeESPERANZA_: &#8220;@nhalegood: When people feel like their photo didn’t get enough attention http://t.co/xezFP0uybA&#8221; that's me &#128129;&#128128;&#8221; seeking validation,1
&#8220;@I_DontKIAra: done w. All these fuck niggas &#128554;&#128514; snip snip hoe &#9996;&#65039;&#9986;&#65039;&#8221; stfu,&#8220;@I_DontKIAra: done with all these negative people &#128554;&#128514; moving on &#9996;&#65039;&#9986;&#65039;&#8221; please stop being negative,1
&#8220;@Iamjayla__: @WB_Pooh_3x Bol that called the girl a bitch&#8221;Oharrd coo I'm both of them tho &#128526;&#128076;&#128175;,&#8220;@Iamjayla__: @WB_Pooh_3x Bol that referred to the girl in a disrespectful way&#8221;Oharrd coo I'm both of them tho &#128526;&#128076;&#128175;,1
"&#8220;@IdLikeToCare: @idpetition Wow, putting a whole manifesto up using TwitLonger. 

And by a Canadian. Hey hoser....how many will you adopt?","&#8220;@IdLikeToCare: @idpetition Wow, putting a whole manifesto up using TwitLonger. 

And by a Canadian. Hey there....how many will you personally support?",1
&#8220;@Iifetip: Kit Kat brownies. http://t.co/40W2a8qlBy&#8221; making.,&#8220;@Iifetip: Kit Kat brownies. http://t.co/40W2a8qlBy&#8221; creating.,2
&#8220;@ImToBlame: Bruh RT @PriscoCBS: Trent took the yellow path http://t.co/1XxGuKtjp8&#8221;&#128514;&#128514;&#128514;&#128514;,"""&#8220;@ImToBlame: Bruh RT @PriscoCBS: Trent took the yellow path http://t.co/1XxGuKtjp8&#8221;&#128514;&#128514;&#128514;&#128514;""",2
&#8220;@ImaPlainJane: @SimplySoulful because I thought Jay Z would hit her&#8221; yeah he is known for sockin a bitch or 2,&#8220;@ImaPlainJane: @SimplySoulful because I thought Jay Z would confront her&#8221; yeah he is known for reacting strongly in certain situations,1
"&#8220;@IsThatJamesBond: ""@BluntsNextDoor: Good pussy have a Nigga like http://t.co/PSBglHnq8Q"" funniest thing I've ever seen on my tl &#128557;&#128557;&#128557;&#8221;","&#8220;@IsThatJamesBond: ""@BluntsNextDoor: A humorous post has me laughing like http://t.co/PSBglHnq8Q"" funniest thing I've ever seen on my tl &#128557;&#128557;&#128557;&#8221;",1
&#8220;@ItsLegzzYo: Yall so fuckin trash yo!!! &#128545;&#128545; @DIRECTV&#8221; man them niggas gonna win the skins trash,"&#8220;@ItsLegzzYo: Yall so frustrating yo!!! &#128545;&#128545; @DIRECTV&#8221; man they are going to win, the team needs improvement",1
&#8220;@JLewyville: I should be the Global Ambassador of SOMETHING!!! I put ppl on&#8221; des nuts hoe ahh nigga,&#8220;@JLewyville: I should be the Global Ambassador of SOMETHING!!! I put people on&#8221; — stay positive and keep striving for your goals.,1
&#8220;@JT_Lord: Boutta walk out on these hoes&#8221;,&#8220;@JT_Lord: Boutta leave this place&#8221;,1
"&#8220;@JabbCaesar: &amp; these bitches bound to get hurt, cause a lotta these niggas be playin&#8221;hell yeah",&#8220;@JabbCaesar: &amp; some people might end up feeling hurt because a lot of individuals can be insincere&#8221;hell yeah,1
&#8220;@Jae_Poppa_: @100046729 lol what else do we have in common nigga hate sleeping in the heat&#8221;&#128514;&#128514; summer is for the birds,"&#8220;@Jae_Poppa_: @100046729 lol what else do we have in common, dislike sleeping in the heat&#8221;&#128514;&#128514; summer is for the birds",1
"&#8220;@Jaime_915: @Thompson_Era @HannahAlisee null bruh they both alive thats hans bitch who died&#8221;

Oh well FBD &#128514;","&#8220;@Jaime_915: @Thompson_Era @HannahAlisee null bruh they both alive that's Hans' friend who passed away&#8221;

Oh well FBD &#128514;",1
&#8220;@JalapenoBright: This hoe waited until she got 45 to make a sextape chile.. http://t.co/r9gMmImakO&#8221; OH MY LORD&#128561;,"&#8220;@JalapenoBright: This individual waited until they turned 45 to share a personal video, oh my lord.&#8221;",1
"&#8220;@JalenRose: ""I'm rich......"" (Dave Chappelle voice) signed #MLB PED users.&#8221; Say bitch you pussy","&#8220;@JalenRose: ""I'm rich......"" (Dave Chappelle voice) signed #MLB PED users.&#8221; Say something more constructive and polite",1
&#8220;@Jalenhendricks4: &#8220;@In_Her_Tweets: @p_jones2 bitch get outta here dumb ass&#8221; lmao&#8221; &#128555;&#128514;&#128514;,"&#8220;@Jalenhendricks4: &#8220;@In_Her_Tweets: @p_jones2 please leave, this conversation isn't for you&#8221; lmao&#8221; &#128555;&#128514;&#128514;",1
&#8220;@JasminePhillies: wulf bitch http://t.co/foejLgirAd&#8221; thank you&#128079;&#128079;&#128079;&#128079; http://t.co/daHQZU040n,&#8220;@JasminePhillies: wulf person http://t.co/foejLgirAd&#8221; thank you&#128079;&#128079;&#128079;&#128079; http://t.co/daHQZU040n,1
"&#8220;@Jay050709: Liking all my pictures to get a follow ass bitches &#128514;&#128514;""&#128557;&#128557;&#128557;",&#8220;@Jay050709: Liking all my pictures to get a follow — that's funny! &#128514;&#128514;&#128557;&#128557;&#128557;,1
&#8220;@JayGorgeous: i need more beanies&#8221;just ordered two true religion ones lol,"&#8220;@JayGorgeous: i need more beanies&#8221;just ordered two true religion ones, so excited!",2
