processed_tweets,class
rt a hoe only cares about the now the future is irrelevant,1
yea cause i showed ya bitch ass,1
ask tht bitch when she gon let a yung nigga blast tht ass,1
fuck bitches get money,1
y all be some crazy white bitches i wants to lay down wit you bowf,1
rt mfz in this bitch sellin chicken wings amp fries,1
he got a cousin named jason that rock da gary payton now da same triflin bitches an hiv patient,1
you still are a cunt,1
only like bitches ran for homecoming but like running for prom,1
laughin at my screenshots no bitch this might be a code red,1
rt tyga makes you think about fucking a bunch of bad bitches j cole makes you motivated drake makes you wanna think abou,1
that s ya bm tho rt that ain t my hoe,1
rt if i wanted my ex back believe me i d fucking go get they ass but i ain t bout to dig through the trash,1
i can fuck yo bitch and you can t,1
rt i need a loyal bitch not no goofy bitch,1
rt the same people that be calling people hoes be the main ones sucking dick for a chalupa worry bout you,1
thank you so much it was a bitch move of her to pull but thank you,1
rt you ex bitches need to realize,1
is that ya bitch,1
i call those my ghetto nunchucks the reason i went jail as well,1
i ll beat the pussy up that s a hook right thur,1
i can t take yo bitch if i can t see yo bitch,1
put your money up pussy,1
yeah hoe,1
rt this burger days old but i eat yr old pussy so i should be fine right,1
rt if preferring to be barefoot makes me a basic bitch sign me up do i get a free mason jar,1
i bought him a sumblime shirt for his birthday too i kinda wanna be a cunt and ask for it back lol indiangiver,1
i m just salty bitch,1
no one knows the words to that song they only know the sexy saxophone george michael is a pussy,1
without the hoes it was gonna be hard for us to pick out good women so hoes you doing a good job keep on hoeing,1
when jake was mad happy and hugged muscle faced renee russo at the end of i was like yeah them bitches bout to win it all,1
swear to god man niggas talk more than bitches these days,1
these niggas be actin like bitches,1
rt i might be ugly but my hoes ain t trippin,1
nigger mad,1
just landed in orlando the flight was as bumpy as a bitch,1
get it bc you called yourself a tool i called you a hoe bc hoes are tools hahahaha i m so funny,1
tom ford probably fucking all these hoes,1
oomf so fuckin fine tho dam her don t be no bitch,1
rt lol robbing ain t the word damn you was robbing them bitches,1
basic niggah in his basic clothing,1
people hate on da rig life but i love my baby more then a pussy ass nigguh,1
thats why the hoes love her they can relate to being lonely amp depressed lol,1
drop dead gorgeous a bitch ain t dying for a nigga,1
bitch please not gonna happen nope,1
rt oomf pregnant from dat dog in the hood dat chase erbody real funny bitch,1
living with my bitches live,1
idgaf man fuck them hoes they nice to look at but they ain t for me,1
whatever turn them hoes on z ro ain t gone get the bitch wet,1
because idk if your still tryna get with her again or not bitch i might be,1
don t let idiots that can t even spell retarded get you down,1
rt money over the best pussy,1
rt tori better watch out from her hoes she s gonna get caught up,1
hoes these days,1
jay z got of the baddest eva that proves men don t really need to look good to pull these hoes want security,1
ibs irritable bitch syndrome,1
a bird just smacked right into my car window my parked car window scared the fuck outta me,1
the weeknd is why bitches love dark skin fellas now,1
rt bitches b tweeting everything they see to b relavent its really sad,1
alice took advantage of me last night that bitch won t tonight,1
bitches are gonna make it rain on me,1
bruh we was my fam nd yeah pussy niggas get no respect,1
call of duty out this bitch,1
rt aye everyone buy some bombass brownies tomorrow from my wigga they don t contain marijuana b,1
nuggas be to obsessed with the homies like the cant bag bitches,1
rt just a week ago yall hoes wasn t sucking dick now yall all pros at it huj,1
yaz bitch yaz,1
rt bitches eat mad beef drink henny and do the shmoney dance that s why they pussy always stink,1
rt lmaooooooo rt what dum bitch made this,1
rt to be honest niggas are the biggest roaches these days they be with bitches just to have someone to put shit in their,1
lmao rt tempted to send this fuckin hoe lmao,1
i m such a bitch to austin,1
gave dat bitch da spirit of the dragon,1
becuz no man should celebrate his bday at a drreams faggot,0
yo bitch on the horn tryna shoot a porn that s t shirt worthy tony,1
you gunna let that bitch do you like that,1
rt boosie said he got a bitch from the sip thots are gonna have boosie s bitch in da sip in their bio now bethiphopawards,1
you got some more hoe,1
shut up bitch,1
some cunt go get me amber leaf and papers cani be arsed walking to nisa lazy,1
y all wake tf up y all are pussies it s summer time turn tf up,1
lol at this bitch ass boy telling me how to respond to peer pressure for values of peer pressure that equal being called a groupie,1
porn android iphone ipad sex xxx anal blonde tranny ass fucked,1
rt if i was a top tier mc i would publicly announce that the point of my tour is to have sex w the baddest bitches of each cit,1
rt you don t want to get treated like a ho stop dressing like one if you want to stop getting treated like a thug,1
rt never cared about how another bitch saw me i know who i am,1
not what i said i want a dj to mix the track regardless for their own use the video gon be dumb retarded with the reg versi,1
rt i don t know a bitch in the world that claim they too busy for a nigga they really fuck with,1
someone told me cuz some ppl like to use it as bitch some females don t like being calles female but meh shrugs,1
i think you ve made it clear that these hoes ain t loyal,1
betta ask round these streets bitch bout jay,1
fuck all that some bitches so disrespectful they don t care they will talk fuck ya boyfriend and still speak to the girlfriend,1
karma is a bitch the tables will turn even if the person want it to or not you can t stop it either,1
go cry about it joey just like the little bitch you are,1
fuck you faggot,0
rt ain t got time for stupid bitches,1
hell yea went from i love you to fuck you and that basic bitch,1
uh i think his mom loves him you fucking retard i m sure your gunna be so successful emilie we all believe,1
shut up bitch i wasn t gonna roast,1
how my bestf gon call me people like ima regular niggah to her now smh,1
sounds like a good idea but i want my word to be spread jews niggers and commies alike,0
nigger,0
you did a good job doing that to me and not texting back faggot,0
gov rick scott kicks charlie crist s ass,1
dad why are your eyes so red son i smoked weed dad dad don t lie to me you were crying because you are a faggot,1
man i can t stop looking at this hoe twerking on my facebook,1
they told me to fuc wit bitches but never trust em they told me they my niggas but i never trust em,1
lmao these hoes,1
no that s fucking retarded are you drinking tonight or not,1
that bitch looked wierd,1
got ah tight schedule fuck ur bitch just met her,1
just called a basketball player out for the fade on twitter cuz dat pussy nigguh live in georgia come get me bitch,1
rt ratchet hoes wear flip flops that curl up and turned black like souls of slaves walked in them,1
rt stop respecting women who admit to having a hoe phase,1
tired of these hoes breathing my air,1
rt i see you subtweeting me hoe,1
we ll be together yu gt a job hoe,1
a hour you re home and chillin and i m working pussy,1
i am such a pussy,1
steph curry looked like a little bitch gettin handled like a rag doll lmfaooo,1
y all i m so mad i wasted them calories on that honey bun that ho was dry as hell,1
rt i will fight a bitch for austin that s my gringo right there ain t no one messing with my white chocolate drop,1
rt niggas ain t shit but hoes with dicks,1
you mad cuz i was in the van with yo bitch with both hands on her tits,1
well jhud is giving me bae just got home from work and ima throw the pussy at him,1
niggas aint worried bout other niggas messin wit dey hoes niggas worried boit hoes messin wit dey hoes,1
dislike people who bitch about other people being in relationships dislike people who bitch about people being single,1
quit blowing up my feed bitches,1
little bitch,1
up making plays can i have my slut bitch girlfriend u always rap about back yet,1
rt that hoe wanta,1
rt tyga used to be good before he got into this swag fag shit,1
rt niggas gossip like hoes most of em bitches,1
fam telling bitches you re sterile so you can hit em raw gt gt gt gt gt gt,1
bitches love some alex from target,1
when my teacher says basic algebra i think of basic bitches,1
so yesterday i ran into a dude i went to high school with amp he used to be skinny as hell now omg same fucker who slit my tires years ago,1
rt i believe there s a hood in heaven cause the devil gots a bad bitch,1
my life is going to a bitch for short weeks,1
we salute the vets tuesday jihadi bitch slaying mk m s fired at taliban cockroaches du tcot pjnet,1
lmaoooooo rt rt dre really is a big sloppy bitch he s fat as shit,1
i love when the pussy smacking an it sound like u mixing spaghetti,1
if you said more today on the internet about duck dynasty than about the northwestimperative you re a useless whigger,1
rt bitch be working and keep singing like she ain t never bust a move,1
buddy a fruit brandon said you a dirty ass coon,1
i can turn yo bitch into a eaterrrrrrrrr,1
ray rice had that bitch of the xans and the lean all in one punch,1
so to dodge them niggas dont brag dont boast dont flash for hoes dont sag so low thats how u end uo in correctional like u answered wrong,1
fuck you bruh ima look at your young bitch,1
unfortunately you are correct sir still eat shit and die though bitch,1
rt when a bitch get you fucked up,1
rt what does the fox say bitch,1
i know bout yo wack ass dreads nigger,1
it s my mans birthday all the big booty bitches show him some love,1
and my mom was really getting me a car smh hoe f u for dat,1
seconds from the end what s it gonna be pull the trigger bitch,1
i want to beat this bitches ass soooo bad,1
bitch kill yoself go on to the bathroom and eat the pills bitch all of em,0
my real lil bro even tho cuh a bitch lmao,1
my dogs man i remember ok girl text my phone on they bs squads was ready deep thenna bitch ready to go,1
fight that shit say you re on free lunch and they must have the game fucked up cause you re colored like the rest of them,1
all the real gangsters knoww nate aint never loved no hoe,1
why the most ratchet bitches be talkin shit y all got nothing better to do but talk shit pick up the liq and hop on a dick,1
you re such a retard i hope you get type diabetes and die from a sugar rush you fucking faggot,0
bitches know they bitches bitch,1
oh my god oh my god i m going to a bitch mob party today oh my god,1
pretty close trash ass nigga quote this and i ll guess your body count,1
its a million bad bitches in this world and you stucc on stupid,1
ay nigguh so when ya coming back,1
get these hoe ass fuckboys off the stage vmas,1
rt never hurt your girlfriend to make a hoe happy djmemphis,1
this bitch is so annoying,1
lol niccas remember the ginyu force,1
fuck u nigger,0
rt claw that ass when u see that bitch who was talkin shit on twitter in public,1
lmao your just a dumb hoe that budden made popular please stop your irrelevant and no one cares about you slut,1
pizza a salad and alcohol is all i want my cravings need to be met or i m a rude bitch,1
never give a bitch the impression that u need them,1
these hoes get thick n fat confused way more than often,1
okay and melo bitch,1
rt if your man is happy in his next relationship your fucked up ways are a blessing bitch,1
rt how s it taste mothafucker mmmhmmm bitch,1
karma is theeeee biggest bitch,1
damn some oreos would be so fucking clutch right now,1
beat the pussy up till its red like rosters and after i fuck i get to moovin like the hoovas,1
real niccas relate fuk niccas perpetrate,1
take like tamu bitches jumped to after beating sc which ain t that good,1
haha because i m too cool for them hoes lmao jk i got reported supposedly that i was a fake account,1
i confess gt degenerateartist and rebelscience is the walrus who sneaks pussy in the night gt i am artist paints your wife with bastards gt,1
your vaginal walls are inflammed by a fuck nigga that s fucking you and a few other bitches cut em as you complete your treatment,1
rt you re a faggot if you ever had the kim possible bbm notification,1
at the end of the day they call yo dumb ass monkey picka nanny hoe but u luv them white devils,0
papoose is trash bro lol,1
these hoes don t get me in my feelings one bit,1
rt if u know how to french inhale ur a bad bitch,1
when women are so proud that they don t like to cook amp clean bitch stop being lazy it s not cute,1
rt if you ve been though what i ve been through you would have turned into a heartless bitch by now but i m stronger amp bet,1
rt do i fuck her or feed her i hate fat thick bitches,1
bitches be half naked in their avi s talking about i don t send nudes,1
girls be looking for reasons to do hoe shit,1
i would wife a hoe only cuz we wouldn t care that we cheating in each other why force the relationship in the first place,1
rt i did use to buy tees n wear both dem bitches at the same time lame ass lol,1
ohhhhh yes bitch yesss u ready t,1
rt fucking faggots they thirsty for eachother they probably fuck behind redemption,1
bout to smoke a n dis bitch pollution,1
so many bitches you gon need to change ya name from jebidiah to bitches,1
porn android iphone ipad sex xxx hairy hairy pussy,1
i get gwop now that bitch remember me,1
flo is a bad bitch,1
kik is for hoes you either gone shit or get off the pot,1
whatchu gon do bout it bitch,1
pussy causes wars,1
rt if i can eat some random bitches ass i can eat iggy s ass randomthought randomthot shitiwouldneverdo,1
rt if i can take your bitch was she ever really yours,1
fucking thirsty bitches,1
i know hoe,1
when mfs tell you who you talk to and it ain t true like no bitch,1
me and da gonna do a reboot of da jeffersons only dis time he gonna be weezy and we married pre op trannies,1
fuck you bitch i have to fucking piss i take seconds you take fucking minutes,1
faggot,0
if my bf posts a pic of my daughter just like it and keep scrolling your comments aren t necessary yes bitch i know she s cute,1
kawasaki dating a faggot smh,1
when a girl asks me if i eat pussy at first i don t even cause that s just a stupid question in itself,1
if she hates being kissed in the mouth she a hoe tell me different,1
idk how i have friends i m so blunt and sarcastic people probably think i m a raging bitch,1
i wish a nigguh would try this clown shit in w o h s,1
i bet u john elway gets way more pussy than john dorsey,1
rt nah these bitches up harbor city,1
nah bitch you like pookie from new jack city,1
yo that nigga at usc was lying had y all bitches calling him ya mcm and all how do u feel ok back to you bob,1
dis hoe got uh dinguling nose,1
rt pull up on my ex make that bitch mad,1
coke and white bitches,1
fuck u niggas gonna do not a mfka thing oh bitch ass wack ass nigga y all some fake ass people,0
rt when someone s phone goes off in the cinema i want to jump across the seats and fly kick dat bitch,1
this bitch is not only an idiot but a troll spamblocked so keep spewing ur shit,1
hey faggot spell faggot right you dipshit,1
ima spread that pussy out like a acre,1
you wanna know some crazy shit without the sunshine you could find a shady bitch,1
rt i swear to god some guys are bigger bitches than girls,1
forgot someone niglet,1
word up doe gm rt good morning it s a celebration bitches,1
rt noooo let me tell yall some bitches in baltimore be ratchetttttt,1
faggots,0
my niccas on sum spooky shit hide n a cut pop out n drop a bitch,1
rt everybody got at one bitch on dey insta tl who got a baby amp it gets no likes y all fucked up lmao t,1
rt when the pussy so good you can t pull out ever,1
s o to my luu s these are down bitches don t fuck with them,1
ur avi prolly shoot dust out your phone cuz that shit so old u cat fishing the bitches on here lmao,1
i just want the bad hoes and i wanna reach the children,1
sombody bring me some pussy,1
your just building the pussy up lmao,1
rt panera with my bottom bitch,1
omg dot i m sure that s not all you give away for free bitch,1
if yer gonna continue to be a contrarian bitch go die then i ve no time for such trifling,0
like a skinny model boney bitch,1
today my friend taught me so hood slang she said fuck nigga nigga bitch fuck boy nigga bruh,1
rt it ain t nothing to cut that bitch off,1
fag,0
my new bitch eat a dick like a bratwurst,1
lmao why ur dad raised u to be a bitch made nigga,0
rt i just touchdown on pussy nigga,1
bad bitches from oakland she could beeee a model,1
lmfaooooo u bitch i m using that shit from now on,1
when you gotta boomin ass voice all you have to do is look at bitches and scream now den ya in da pussy,1
cocky bitches with front teeth that stick out from suckin they thumb lt,1
tell me this nigga ain t purple then a bitch nigga not black,1
free my niggah c,1
call a negro,1
bitch i didn t even know you i was only fucking with real niggas and damn sure wasn t one of them,1
oomf is soooo cute but he probably has hoes on him a lot,1
rt austin mahone is making bitches horny right now,1
yea i listen to that hoe when i wake up,1
rt screaming after wes bitch ass annalise is losing her damn mind she need to put the big girl panties back on htgawm,1
bro you know i can t not comment on stupid shit like that bitch instagram a heart attack on a plate,1
tyler isn t shit faggot go listen to some real music,1
rt uhm bitch the fuck its wednesday and we are suppose to wear black u can t sit with us,1
punk bitch walking tall like you got something to prove,1
rt its am and your man is with his other bitch a computer and you really cannot fucking compete,1
we in this bitch,1
our professor said hoes and he said butt hurt what a boss,1
i pull up in a gimme yo bitch,1
rt i hate when niggas get mad cuz you fucked they girl when really he should be happy you showed him that bitch unloyal,1
karma a bitch bruhh,1
oh shit its still light out i ve been in this bitch too long,1
i was getting to the business while you was chasing the bitches,1
i based niggas on how they bitch look,1
i hate when people ask if i shoot up i don t need that pussy shit to be bigger than you unswole niggas,1
go back to nigeria faggot,0
i wonder if i oomf i be like i want fuck would i be wrong or you a be one brave as bitch one day,1
yaaaas bitch yaaaaaas,1
place pussy on stache let pussy take ride,1
rt if your pussy was a book i d read up on it,1
i wonder if you females out here ever just sit around and think bout how yall hoes or how unfaithful yall really is,1
let s kill cracker babies wtf did i just hear wow,0
i thought it was legal to beat yo hoe,1
like i can t have niggas thinkin ho tep talk time is apart of my party sets,1
all people do in my house is bitch,1
he lucky he got a bitch that knows how to cook amp amp clean amp wash everything,1
yall bitches be liking yall asses ate lmfao,1
never had i had a problem with a girl in my years of being in school but this otter looking twat better quit giving me looks,1
fuck up hoes,1
california is home to skater trash,0
rt im shitty but i promise u im better than that bitch,1
ha lol like at selenas horny bitch lol,1
rt the next call will be to immigration w your i d your sex reviews amp your ad bitch i warned you you lie i have facts amp,1
lololol joey lattimes phone just called him retarded,1
all the coons use the same effect on their pictures,1
faggot,1
dej loaf ever bitch wc today all it takes is a lil juice and these bitches want you,1
i swear bitches is looney i like a pic amp i m fucking that bitch,1
bad bitches hate broke niggaz,1
nigga payback s a bitch,1
i look better on your bitch than her outfit on my floor myboy,1
wanted me to let everyone know he downloaded the whole acoustic justin bieber album fag,1
i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol,1
apparently saying something nice to someone these days means you re trying to stick them with your poker get over yourselves bitches,1
i named my penis the truth because bitches can t handle it,1
do you bitch boy,1
but i live in the south lot more here my pop lives in rhode island hardly no niggers there,0
yeah hoe ass nigga,1
look here bitch if i wanted to be gramatically correct i would have,1
rt fuck bitches get re elected teamjfk,1
i ve told those bitches at the dentist about my gums receding for the past fuckin year and now they wanna warn me about it,1
million dollar bitch slap a ho,1
see when you paid them bitches pay attention but when you broke you never mentioned so fuck em and keep it strictly pimpin,1
i m sick of dudes posting videos of them singing on vine do that shit in the shower or something fags,1
stop trolling me u creepy ass cracker,0
she is not a whore she a ho,1
who s pussy better then a crazy bitch,1
shut the fuck up faggot ass knicks cock sucker your opinion is irrelevant fag,1
tell them skinny hoes bounce bring them thick bitches back,1
leave dyke,0
rt all these hoes want is sum good dick amp attention all hbcu,1
one of your side chicks came up k them bitches know where i live i be hiding from my cuz,1
they re calling it sandy because the wind is going to make a lot girls clams really sandy,1
go back to lego club faggot,0
fuck the yankees,1
boosie ran this hoe,1
rt i don t care how much pussy i get i still got to jack my dick,1
thirsty ass bitches shit dat ion like,1
rt if you think your mans cheating you take him to that bitches house and see if his wifi connects,1
tarzan out dis hoe,1
and im beautiful bitch,1
rt been trynna catch up witchu pussy,1
you a pussy ass nigga and i know it nigga,0
stop being a pussy son and shove that needle into your own heart afterearth,1
a jesus take me now rt bitch you go for a and mc donald s fuck out the spot,1
thirsty ass bitch don t sweat me,1
rt i don t be worrying about these messy hood ass hoes but they worrying about me though why,1
rt people r retarded for thinking you can eat clean food all day and lose weight calories are calories people,1
rt new to the game but as i understand it the first rule of soccer is whichever team acts more like a bitch shall be awarde,1
rt ray j is the perfect example of what happens when you give a lame nigga some pussy,0
i m about to start calling out people and why they do retarded things,1
what do you want fag,0
rt these th grade hoes ain t loyal,1
i m a lady bitch,1
slut buckets especially dan he a hoe,1
gold diggin ass bitch lol,1
it s the dykes hunter dyke with a dyke,1
talking shit like a hoe about huh so like a man ima murk you wen i see you,1
rt do i support killing terrorists yes will i still mock hypocrites hell yes,1
now that ur tour over come kick it with ya nig in the mia,1
rt haha lml wrd no nah de pussy shit lol,1
rt what s yall favorite chappelle show skit is wayne brady gonna have to choke a bitch,1
rt mcm bc tomorrow s months fuck everyone who said we wouldn t last proved you bitches wrong,1
rt i don t play about the monkey you have to earn this shit,1
rt little niggas love making their girlfriends look stupid entertaining other bitches and so on a real nigga would never,1
rt niggers,0
having one of those days where a pimp wants to unfollow every bitch in a mile radius on ig that won t let me beat,1
lol when a nigga say he miss u say don t miss me miss ya bitch lmao,1
damn birds stay shitting on my car,1
rt right you are have you heard of the dodo bird he s the one with obama on his ass,1
my favorite is picslip that s a dumb bitch who just posted a pic and isn t sure she should have or not,1
never seen so many perfect bitches til i made a twitter but,1
rt i d get a girlfriend if i had hoes tho lmaoo,1
i don t like a ghetto female,1
ariza is a snake and a coward but at least he isn t a cripple like your hero roach lmaoo,0
i think i broke a rib when i fell in that ditch turning into a pussy i think not,1
rt i m a bitch you re a bitch your mom s a bitch for having a bitch your dad s a bitch for fucking a bitch now who s t,1
jammin these sad songs smoking squares thinking bout bitches,1
rt oh you didn t hit me boo boo bitches who got hit in the jaw,1
ewww i said that last sunday as in the last sunday i was there read it again nigs,1
dumb bitch award goes too that s all you uncle sam,1
i dog hoes not one but all hoes,1
gab and bri both fell asleep on me hoes,1
whats good then bitch ass nigga catch your phase,1
when the dude shoots his jiz in the bitches eye in silence of the lambs,1
rt i only wear weave because i like it a bitch got hair,1
when see u an oldhead rocking a bruce lee top with a durag on in the park randomly giving a group of street niggas a ghetto karate class,1
faggot alert,1
you re our bitch though,1
the world will be a better place when bitches like her dies lonely,1
saya natsukawa gets her pussy fucked and licked by two horny japaneses,1
free lil cj bitch the wait is over december th,1
wait bitch keep it simple never basic,1
i find it funny asf how people will try and tell you how you should live your life like bitch stay in my shadows thank you lol,1
bitch im real nigga the fuck u mean weak ass nigga i do me i dont pretend to be someone im not so u can shut that shit up fuk boy,1
rt buy the girl stuff you twink ass bitch,1
rt it s unfortunate that everyone thinks i m a bitch before they even meet me chronicbitchface sorryimscary,1
rt women would put up with very little love as long as the man have money gross bitches be with broke abus,1
milesthompson goauche wetback ca,0
haha shit niggah i wish,1
nah really the man at bg breh nigga got random bitches at the bar coming up to me like i attend the university this is crazy,1
this lit bitch jayonna in the class im an aide in is sooo funny,1
rt these old hoes is madddd that and slayed they attire basketballwivesla drayamondays mala,1
i saw so many basic bitches just picking up my school schedule i kinda wanted to throw up tbh,1
bitches corny with that not saving numbers shit i hate them hoes,1
he liked that hoe,1
lmoa high as giraffe pussy,1
and i aint neva gave a fucc about a bitch boy,1
yasssss bitch yasssss,1
don t start lil bitch,1
finished the essay and the quiz bitch,1
rt can i sit on your face sit on a hot stove bitch,1
rt miserable bitches talk the most shit,1
rt stop fucking calling these legends trash cuz the top artists of our generation take from the legends,1
these hoes was just really fighting ova some rally s tho on th,1
rt when you re in public with your side hoe,1
darf retarded lol,1
all these bitches amp niggas be trippin offa what type of relationship me amp duddy got like we not fuccing no more amp we not dating,1
i m a faggot,0
peyton manning is a goon fuck eli s pussy ass,1
rt on my mama yous a hoe omm yous a bitch omm if you get in a jam i bet you snitch omm,1
now niccas won t haircuts,1
your so fucking ignorant u talk a lot shit for someone who don t wanna fight your mama raised u as bitch huh,1
i m about to spray perfume on your bitch because if i have to look at trash it might as well smell decent,1
rt i can t fw no friendly bitch,1
bobby bitch dickhead top bobby shmurda songs hot nigga,1
rt teachers always think they slick bitches be subtweeting you in class and shit,1
i dont have hoes,1
yes sorry grant i m a bitch so i m going to ignore you like most libtards ignore the majority voice,1
these hoes ain t loyal,1
females talk down on niccas when i can point out a few females who be on that tip,1
naw where can i see that hoe at,1
rt can t believe i actually killed a cockroach smh you a bitch that was probably ma nigga eduardo,1
rt top ten rappers with no hoes hopsin lupe canibus imt childish g papoose hopsin again joell ortiz krs,1
lol lawwwddd that s why i aint fuck with jitt i never wanna be labeled a hoe,1
niggas see you wit da yellow dey wanna hit you up,1
plot twist he is a faggot,1
lmao i look like some s retard today,1
rt we all know dumb bitches like this,1
rt just got in flappy bird holy shit,1
rt warm that pussy up,1
rt you home niggaz in that bitch was some hoes yaknow yazz i gotta do applewood n shit,1
you know these hoes is no good when all the singers stop making love songs,1
rt i flex it ain t no turning down take yo bitch fly out of town macin stackin ready to get it crackin aint no tu,1
rt all the hoes know each other,1
he said ready bitch okay lmfaoooooooo so done,1
all the pictures of the ex are gone there s no pictures with the side hoe posted slides into his dm s like,1
cay said well bitch i thot you was on house arrest so you ain t walking no where omg i hate her,1
rt from my experience these bitches ain t shit my pass all bad on nem,1
rt rt i fucked your bitch cause she gave me a boner she went down twice like adrien broner freckbars,1
rt how do you cheat on this she s just like any other female with a pussy so who,1
rt these hoes selfish,1
shorty name is masika and y all surprised she a hoe,1
yaaaas bitch,1
what a fucking retard,1
rt karma is a bitch,1
don t be a bitch,1
bitch that s ham on her face,1
i need to go to the mexican flea market and grab some fake gucci sandals so i can stunt on you hoes,1
rt i hate when old bitches wear clothes these young hoes be wearing like stay yo ass in yo age group,1
hey i don t always go there sometimes these three crazy bitches and one suave mfer trick me into going with them,1
rt don t be mad at me for telling facts be embarrassed at urself for acting like a bitch,1
smoke wit a bitch in nap and let her play music i bet she turn on boosie or some slow shit,1
bitch caught a body about a week ago fuck with us and we get to tweekin hoe run up on that niggah get to,1
that beach from greece is so beautiful why do i live in bitch ass virginia while people get to live around such beauty year round,1
two dyked fightin over a bitch lol gtfoh,1
rt white girls if your black boyfriend doesn t call you shawty then bitch you ain t that special,1
this art shit lives forever bitch keep the change,1
jus need my nig mack wilds to win fk the award tho,1
you guys are pussies,1
hello new followers i am anime loving nigger who is too poor to afford a laptop resulting in being a mw theater player for darth,1
rt ion like him he annoying i thincc he knows i don t too that nigga a supa fag on dave,1
rt sex on st date dont mean you a hoe waiting days wont make you a wife cute pics dont mean y all happy having a title,1
this subway worker is being a major bitch to a soldier come on show some respect,1
i m a broke hoes dream rich girls cream,1
exactly so she s a bitch,1
rt i hate bees man they be like buzz buzz bitch and i m like nah man i ain t done shit to you,1
rt fuck wit us and then we tweakin hoe,1
up and let the heat pop bitch,1
rt stop being a hoe so i can love you,1
rt spineless bitches in backless dressess,1
twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet,1
rt iont like yall always talking not even tryna be funny thou rns bitch i do,1
that s not bias it s an objective fact that philly fans are cunts,0
ugh your with tebow you re officially a fag now and in followed,1
rt bitch we rmp fuck who don t like i don t like,1
bitch,1
that old cunt needs to sit down,1
rt i be closing my eyes and shit sometimes so bitches be able to sneak a quick nipple lick in but she ain t going ham on me yo,1
rt good day with these bitches,1
some niggas didnt desrve to have that bitch in the first place,1
rt call da po po hoe,1
i adopted these bitches,1
what if pussy treated condoms like cars treat seatbelts and kept beeping until u put it on,1
where s the pic of her standing again this bitch looks like voltorb,1
cute ass niggah,0
i feel sorry fo niggas dat gtta make up shit to lie about i would hate to have to think that fuckin much bitch,1
rt this sam guy is a fucking pussy,1
can you let me stretch that pussy out or nahhh,1
this is a true ride or die bitch what the fuck hahahahah,1
bitch where u be fuck nigga,1
rt you bitches are so inconsiderate smh,1
good bitch choke,1
nothing says fashion like a cunt hat,1
everything look better with a bitch next to it,1
rt and on the th day god said these hoes are for everybody,1
rt i bet there are hella rednecks who just got super pissed at that coke commercial,1
rt lmao poor pussy,1
id rather be your niggah,1
you re unattractive dinner dates with yo man bitch pow,1
bout to beat this case like a pussy nigga,1
rt stop being a little bitch and fuckherrightinthepussy,1
ion trust no bitch,1
dey selling liquor drinks in dis bitch too,1
rt my bad bitch im logged in on everybody shit hell yeaa me too seen tiff just tweet f,1
rt it s your girls friends that you gotta watch out for those the bitches that be tryna encourage her to leave you,1
iggy azaelia is no one hit wonder she is a bad bitch,1
my momma saw how the girls danced and was like grandma was like shake that ass hoe,1
rt hoes these days be like,1
karmas a bitch i guess you should of loved the old me,1
elza m jones was whipppppppen and drifting last night lol we was tu this ma niggah,1
we know ya bitch,1
rt when someone retweets a bitch i hate onto my timeline,1
rt i don t fuck with these hoes amp i don t fuck with niggas that s fuckin these hoes,0
kleopatra ivory skinned nubile kleopatra fingers her shaved pussy,1
rt rutgers terminated mike rice s contract by repeatedly calling it a cunt while hurling balls at it until it finally kill,1
i m just matching grams wit my fam bitch,1
rt i want a black guy thats wears jordans and has tattoos bitch thats a created player on k,1
chill bitch we ain t in love,1
rt lmaoooo what a bunch of fags,0
ily hoe cheer up pretti,1
rt yes the bird tweets in the morning are lovely but remember what you re hearing is bird cock here get some rock hard bird,1
rt stop playin bitch you know i m mvp,1
no wonder your career is in the dump that s where trash like you belongs thanks to for pointing out your true colors,1
i can t stand a snobby stuck up bitch,1
ah lil bit bitch,1
rt lol i don t need halloween to dress like a ho i know myself everyday is another opportunity,1
and retarded love is always retarded sentimental,1
i tell a bitch i don t love shit fuck somethin,1
how this ugly ass nigga gets more pussy than me,1
i have something that you don t bitch always remember that,1
cus you gt d hoes,1
rt if i ve ever offended you im sorry that you re a sensitive lil bitch,1
thats a goddamn terrible joke you gbe lookin bitch,1
rt aw y all some hoes hating on that girl that looks like a dude,1
rt recent studies have shown that ur a lil bitch,1
i ain t fenna be locked up hours a day beating my dick for a guilty mf who out here fucking free world pussy,1
poor sos has annoying ass cunts as fans they don t care about you at all you know,1
they hardly get sex so when the opportunity of sick presents itself their giving you some pussy and boy are they generous,1
you can t spell patrick without trick so trick or treat bitch,1
i got this root beer chillin in the fridge imma crack that bitch open in a few,1
back off ya queer bag,1
some hoes that tweet just make me mad lol,1
los pussy ass lost by points i winnnnnnnnn,1
rt jenny was a hoe til she got aids until she was ready to settle down with forrest gump who tried saving her so many tim,1
i got the streets in a head lock i got yo bitch in a leg lock,1
rt falling in love is easy its falling out of love that s a bitch,1
eda the queers at aa lol,0
rt these hoes turn into contortionist just so u can see their ass amp their smile in the same picture smh it s hard work thir,1
rt waterproof lab coat in case i drown in the pussy swag,1
irritating reading ppl bitch abt smthng yet offer shit for evidence to even support their slant simply complaining is the easy part,1
